Kenteken,Brandstof omschrijving,Datum eerste afgifte Nederland,cumhelp,Cumulative
VDV69T,Diesel,2020-01-02,1,560
66BPD9,Diesel,2020-01-02,1,561
60BPD2,Diesel,2020-01-02,1,562
G007ZN,Diesel,2020-01-02,1,563
37BPD5,Diesel,2020-01-02,1,564
VDS19K,Diesel,2020-01-02,1,565
VDV13K,Diesel,2020-01-02,1,566
G915TH,Diesel,2020-01-02,1,567
VDX85N,Diesel,2020-01-02,1,568
69BNZ6,Diesel,2020-01-02,1,569
G173FG,Diesel,2020-01-02,1,570
VDR63B,Diesel,2020-01-02,1,571
VDL84X,Diesel,2020-01-02,1,572
99BPB2,Diesel,2020-01-02,1,573
11BNX4,Diesel,2020-01-02,1,574
19BPB8,Diesel,2020-01-02,1,575
VDT68Z,Diesel,2020-01-02,1,576
VDV39K,Diesel,2020-01-02,1,577
VDR55X,Diesel,2020-01-02,1,578
V943ZD,Diesel,2020-01-02,1,579
85BNZ9,Diesel,2020-01-02,1,580
VDV93P,Diesel,2020-01-02,1,581
G110VR,Diesel,2020-01-02,1,582
G298SZ,Diesel,2020-01-02,1,583
79BNZ4,Diesel,2020-01-02,1,584
VBV31N,Diesel,2020-01-02,1,585
43BNS7,Diesel,2020-01-02,1,586
H865FF,Diesel,2020-01-02,1,587
49BPB7,Diesel,2020-01-02,1,588
ZS504D,Diesel,2020-01-02,1,589
44BPD9,Diesel,2020-01-02,1,590
51BPD4,Diesel,2020-01-02,1,591
99BPB5,Diesel,2020-01-02,1,592
59BPD3,Diesel,2020-01-02,1,593
VDN89B,Diesel,2020-01-02,1,594
H335DF,Diesel,2020-01-02,1,595
VDR18S,Diesel,2020-01-02,1,596
VDH58P,Diesel,2020-01-02,1,597
G538VX,Diesel,2020-01-02,1,598
60BPD3,Diesel,2020-01-02,1,599
21BNV8,Diesel,2020-01-02,1,600
G554TK,Diesel,2020-01-02,1,601
2345ZZ,Diesel,2020-01-02,1,602
H189DP,Diesel,2020-01-02,1,603
H450FF,Diesel,2020-01-02,1,604
VDT35R,Diesel,2020-01-02,1,605
VDV67G,Diesel,2020-01-02,1,606
G651XT,Diesel,2020-01-02,1,607
46BNZ8,Diesel,2020-01-02,1,608
78BNZ4,Diesel,2020-01-02,1,609
VDH42P,Diesel,2020-01-02,1,610
H211BH,Diesel,2020-01-02,1,611
69BPD9,Diesel,2020-01-02,1,612
VDS94R,Diesel,2020-01-02,1,613
47BNZ8,Diesel,2020-01-02,1,614
87BNV3,Diesel,2020-01-02,1,615
72BNV7,Diesel,2020-01-02,1,616
67BNX3,Diesel,2020-01-02,1,617
26BPD9,Diesel,2020-01-02,1,618
V645RT,Diesel,2020-01-02,1,619
G326ZN,Diesel,2020-01-02,1,620
94BPD2,Diesel,2020-01-02,1,621
VDX19B,Diesel,2020-01-02,1,622
69BPB8,Diesel,2020-01-02,1,623
80BPD4,Diesel,2020-01-02,1,624
87BPB6,Diesel,2020-01-02,1,625
VDJ23K,Diesel,2020-01-02,1,626
G031PZ,Diesel,2020-01-02,1,627
